return_id,order_id,customer_id,sku_id,category,sub_category,brand_tier,city,return_date,return_month,days_to_return,return_reason,return_reason_group,refund_amount,reverse_logistics_cost,total_loss,resolution_days,refund_mode,customer_segment,delivery_slot,sla_breached,is_perishable,order_total_paid,dark_store_id,delivery_agent_id
RET0000001,ORD0000001,CUS002978,SKU1103,Meat & Seafood,Prawns & Shrimp,Premium,Chennai,2023-05-05,2023-05,0,Damaged Product,Logistics,1271.98,74.98,1346.96,0,Original Payment Method,Champion,Evening (3–6 PM),1,1,1404.7,DS012,DA0149
RET0000002,ORD0000002,CUS014825,SKU1058,Dairy & Eggs,Eggs,Mid,Chennai,2022-07-08,2022-07,5,Duplicate Order,Customer,50.21,80.03,130.24,1,Original Payment Method,Champion,Prime Evening (6–9 PM),1,1,54.07,DS019,DA0103
RET0000003,ORD0000007,CUS004856,SKU1296,Staples & Grains,Sugar & Salt,Mid,Bengaluru,2022-10-07,2022-10,2,Damaged Product,Logistics,509.81,58.67,568.48,1,Bank Transfer,Champion,Early Morning (6–9 AM),0,0,542.01,DS020,DA0034
RET0000004,ORD0000009,CUS007457,SKU1425,Pet Care,Dog Food,Mid,Mumbai,2023-08-21,2023-08,0,Damaged Product,Logistics,1352.85,57.3,1410.15,1,Original Payment Method,Champion,Afternoon (12–3 PM),0,0,1426.15,DS018,DA0126
RET0000005,ORD0000018,CUS014918,SKU1162,Bakery & Bread,Bread & Buns,Budget,Bengaluru,2023-11-16,2023-11,1,Item Missing in Order,Logistics,36.14,60.4,96.54,2,Original Payment Method,Champion,Morning (9 AM–12 PM),0,0,39.57,DS007,DA0148
RET0000006,ORD0000035,CUS000280,SKU1024,Fruits & Vegetables,Leafy Greens,Budget,Delhi,2023-10-20,2023-10,0,Damaged Product,Logistics,271.77,65.44,337.21,2,Wallet Credit,Champion,Prime Evening (6–9 PM),0,1,298.17,DS010,DA0114
RET0000007,ORD0000039,CUS010429,SKU1073,Dairy & Eggs,Ghee,Mid,Kolkata,2023-03-10,2023-03,7,Damaged Product,Logistics,211.87,28.45,240.32,3,Wallet Credit,Champion,Night (9 PM–12 AM),0,1,219.38,DS002,DA0041
RET0000008,ORD0000042,CUS010586,SKU1058,Dairy & Eggs,Eggs,Mid,Mumbai,2022-12-10,2022-12,1,Damaged Product,Logistics,116.14,80.81,196.95,0,Original Payment Method,Champion,Prime Evening (6–9 PM),0,1,117.5,DS016,DA0056
RET0000009,ORD0000044,CUS014471,SKU1080,Meat & Seafood,Chicken,Mid,Delhi,2023-09-27,2023-09,0,Expired or Near-Expiry,Quality,599.46,51.63,651.09,0,Original Payment Method,Champion,Afternoon (12–3 PM),0,1,603.52,DS020,DA0077
RET0000010,ORD0000047,CUS002754,SKU1122,Frozen Foods,Ice Cream,Premium,Bengaluru,2023-07-12,2023-07,1,Duplicate Order,Customer,212.22,60.49,272.71,3,Original Payment Method,Champion,Prime Evening (6–9 PM),1,1,215.72,DS012,DA0042
RET0000011,ORD0000051,CUS016537,SKU1351,Household Essentials,Detergents,Premium,Bengaluru,2023-01-17,2023-01,1,Damaged Product,Logistics,663.98,32.2,696.18,3,Original Payment Method,Champion,Afternoon (12–3 PM),0,0,741.0,DS018,DA0001
RET0000012,ORD0000055,CUS015914,SKU1202,Snacks & Namkeen,Chips & Crisps,Mid,Kolkata,2023-10-03,2023-10,3,Expired or Near-Expiry,Quality,53.44,36.58,90.02,1,Original Payment Method,Champion,Night (9 PM–12 AM),0,0,62.88,DS004,DA0162
RET0000013,ORD0000058,CUS013363,SKU1278,Staples & Grains,Atta & Flour,Premium,Chennai,2024-05-06,2024-05,0,Changed Mind,Customer,271.02,82.03,353.05,3,Wallet Credit,Champion,Prime Evening (6–9 PM),1,0,326.34,DS019,DA0088
RET0000014,ORD0000062,CUS002492,SKU1121,Frozen Foods,Ice Cream,Budget,Kolkata,2022-12-30,2022-12,2,Damaged Product,Logistics,544.39,48.98,593.37,5,Original Payment Method,Champion,Prime Evening (6–9 PM),1,1,558.04,DS002,DA0082
RET0000015,ORD0000072,CUS008797,SKU1102,Meat & Seafood,Prawns & Shrimp,Mid,Delhi,2023-09-10,2023-09,3,Damaged Product,Logistics,271.09,71.25,342.34,0,Wallet Credit,Champion,Evening (3–6 PM),0,1,278.62,DS017,DA0001
RET0000016,ORD0000074,CUS000226,SKU1292,Staples & Grains,Cooking Oil,Mid,Mumbai,2023-09-28,2023-09,1,Quality Not as Expected,Quality,173.51,75.71,249.22,1,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,193.84,DS011,DA0004
RET0000017,ORD0000078,CUS004374,SKU1100,Meat & Seafood,Prawns & Shrimp,Budget,Chennai,2024-01-24,2024-01,2,Expired or Near-Expiry,Quality,425.84,61.62,487.46,2,Original Payment Method,Champion,Evening (3–6 PM),1,1,435.52,DS024,DA0179
RET0000018,ORD0000081,CUS008301,SKU1421,Pet Care,Dog Food,Budget,Bengaluru,2023-07-07,2023-07,7,Changed Mind,Customer,559.55,31.34,590.89,3,Original Payment Method,Champion,Morning (9 AM–12 PM),0,0,667.98,DS013,DA0180
RET0000019,ORD0000102,CUS012051,SKU1179,Bakery & Bread,Cakes & Pastries,Mid,Mumbai,2024-02-19,2024-02,1,Item Missing in Order,Logistics,40.93,48.67,89.6,0,Wallet Credit,Champion,Prime Evening (6–9 PM),1,0,43.33,DS009,DA0005
RET0000020,ORD0000109,CUS013941,SKU1383,Baby Care,Diapers,Mid,Mumbai,2022-11-26,2022-11,0,Item Missing in Order,Logistics,1560.55,38.78,1599.33,2,Wallet Credit,Champion,Afternoon (12–3 PM),0,0,1570.62,DS021,DA0200
RET0000021,ORD0000118,CUS000824,SKU1116,Frozen Foods,Ice Cream,Mid,Chennai,2022-10-01,2022-10,3,Other,Customer,144.86,67.07,211.93,2,Wallet Credit,Champion,Morning (9 AM–12 PM),0,1,163.25,DS021,DA0060
RET0000022,ORD0000121,CUS016348,SKU1336,Personal Care,Deodorants,Budget,Bengaluru,2024-07-01,2024-07,2,Changed Mind,Customer,357.88,29.04,386.92,3,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,395.81,DS007,DA0060
RET0000023,ORD0000122,CUS017937,SKU1394,Baby Care,Baby Food,Mid,Delhi,2022-10-03,2022-10,0,Damaged Product,Logistics,451.39,79.1,530.49,2,Original Payment Method,Champion,Morning (9 AM–12 PM),0,0,496.18,DS001,DA0041
RET0000024,ORD0000135,CUS004725,SKU1099,Meat & Seafood,Fish,Budget,Kolkata,2024-03-10,2024-03,2,Item Missing in Order,Logistics,484.59,76.84,561.43,0,Original Payment Method,Champion,Evening (3–6 PM),1,1,529.62,DS015,DA0113
RET0000025,ORD0000136,CUS008369,SKU1372,Household Essentials,Fresheners,Mid,Mumbai,2024-01-15,2024-01,4,Quality Not as Expected,Quality,66.64,42.68,109.32,2,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,78.8,DS002,DA0038
RET0000026,ORD0000138,CUS016436,SKU1334,Personal Care,Deodorants,Budget,Delhi,2023-10-16,2023-10,0,Expired or Near-Expiry,Quality,385.78,77.32,463.1,2,Wallet Credit,Champion,Afternoon (12–3 PM),0,0,417.76,DS002,DA0129
RET0000027,ORD0000142,CUS006357,SKU1130,Frozen Foods,Frozen Vegetables,Budget,Kolkata,2023-03-06,2023-03,4,Wrong Item Delivered,Logistics,630.67,71.71,702.38,1,Bank Transfer,Champion,Prime Evening (6–9 PM),0,1,740.3,DS024,DA0106
RET0000028,ORD0000147,CUS012727,SKU1451,Pet Care,Pet Accessories,Premium,Kolkata,2023-05-19,2023-05,2,Expired or Near-Expiry,Quality,866.55,35.35,901.9,2,Wallet Credit,Champion,Afternoon (12–3 PM),0,0,1045.48,DS009,DA0035
RET0000029,ORD0000150,CUS016319,SKU1082,Meat & Seafood,Chicken,Premium,Delhi,2023-10-12,2023-10,0,Damaged Product,Logistics,1092.09,78.59,1170.68,1,Wallet Credit,Champion,Evening (3–6 PM),0,1,1126.95,DS010,DA0103
RET0000030,ORD0000172,CUS014719,SKU1206,Snacks & Namkeen,Namkeen,Mid,Kolkata,2022-08-01,2022-08,2,Expired or Near-Expiry,Quality,57.5,41.85,99.35,1,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,59.41,DS021,DA0091
RET0000031,ORD0000173,CUS000743,SKU1409,Baby Care,Baby Lotion,Premium,Pune,2023-03-20,2023-03,1,Wrong Item Delivered,Logistics,321.99,70.76,392.75,1,Bank Transfer,Champion,Evening (3–6 PM),1,0,376.26,DS006,DA0127
RET0000032,ORD0000174,CUS012173,SKU1254,Beverages,Tea & Coffee,Budget,Chennai,2024-01-02,2024-01,2,Damaged Product,Logistics,29.39,49.19,78.58,1,Original Payment Method,Champion,Morning (9 AM–12 PM),0,0,34.51,DS002,DA0045
RET0000033,ORD0000176,CUS017657,SKU1283,Staples & Grains,Atta & Flour,Mid,Hyderabad,2022-08-24,2022-08,0,Other,Customer,98.97,69.93,168.9,0,Wallet Credit,Champion,Evening (3–6 PM),0,0,110.01,DS006,DA0198
